index,stars
0,4.066333770751953
1,4.554100036621094
2,3.9412598609924316
3,3.903020143508911
4,1.7739386558532715
5,4.4397382736206055
6,4.341526031494141
7,3.7712388038635254
8,4.302324295043945
9,4.989043235778809
10,4.46724796295166
11,3.161766529083252
12,3.477299451828003
13,4.640740394592285
14,3.732339859008789
15,4.243521690368652
16,3.2526895999908447
17,3.8586182594299316
18,2.3329954147338867
19,4.155681610107422
20,4.979336261749268
21,3.279541015625
22,3.5463223457336426
23,4.766491889953613
24,3.240649700164795
25,4.229593753814697
26,4.60740327835083
27,4.749544143676758
28,3.349114418029785
29,4.781229019165039
30,4.551405906677246
31,4.430025100708008
32,4.229593753814697
33,2.7291197776794434
34,4.840139389038086
35,4.00317907333374
36,1.9048538208007812
37,3.8788955211639404
38,4.714008808135986
39,3.650179862976074
40,4.1687164306640625
41,4.670518398284912
42,4.215792655944824
43,4.09651517868042
44,4.086714744567871
45,4.09651517868042
46,2.467651605606079
47,4.906007289886475
48,3.5463223457336426
49,4.194519519805908
50,2.1866414546966553
51,3.819824695587158
52,4.09651517868042
53,2.7409958839416504
54,5.0
55,4.302324295043945
56,3.457578659057617
57,3.95501971244812
58,3.6856589317321777
59,4.452358722686768
60,4.5520243644714355
61,4.286030292510986
62,3.797785758972168
63,4.867024898529053
64,3.8484795093536377
65,3.9674596786499023
66,1.5563517808914185
67,4.767312526702881
68,3.0332021713256836
69,4.3794732093811035
70,2.864266872406006
71,5.0
72,4.061621189117432
73,3.7634592056274414
74,3.365074634552002
75,3.9481396675109863
76,4.589635848999023
77,3.4082765579223633
78,4.340271472930908
79,4.312124729156494
80,3.911097526550293
81,2.701706886291504
82,4.8622307777404785
83,4.061621189117432
84,4.194519519805908
85,3.9206199645996094
86,5.0
87,3.477299451828003
88,5.0
89,2.9841132164001465
90,4.305150508880615
91,4.469516277313232
92,1.8589813709259033
93,4.565593719482422
94,3.4970202445983887
95,3.052838087081909
96,2.4790260791778564
97,4.155317783355713
98,4.830692291259766
99,3.55662202835083
100,4.253322601318359
101,4.116116523742676
102,4.366050720214844
103,4.407691478729248
104,4.355419158935547
105,4.334155082702637
106,4.869532108306885
107,3.819824695587158
108,4.240634441375732
109,3.8383407592773438
110,4.214120388031006
111,4.326061725616455
112,3.112464427947998
113,4.1749186515808105
114,3.4847917556762695
115,4.6162872314453125
116,3.2800912857055664
117,3.819824695587158
118,4.554100036621094
119,4.8141703605651855
120,4.331725597381592
121,3.975658893585205
122,2.851844310760498
123,4.312124729156494
124,3.9687795639038086
125,3.5805654525756836
126,2.3618929386138916
127,4.243521690368652
128,4.086714744567871
129,4.20489501953125
130,4.785079479217529
131,4.51191520690918
132,4.521628379821777
133,4.194519519805908
134,4.46724796295166
135,3.033750534057617
136,2.430182695388794
137,5.0
138,4.536332130432129
139,4.038061141967773
140,2.8179855346679688
141,5.0
142,4.846991539001465
143,3.8687570095062256
144,4.066333770751953
145,3.3096725940704346
146,4.086714744567871
147,4.3611273765563965
148,3.9894189834594727
149,5.0
150,3.5167412757873535
151,3.365074634552002
152,3.5446503162384033
